lot_id,lot_number,auction_id,auction_title,auction_date,auction_location,sale_type,artist_name,artist_birth_year,artist_death_year,title,medium_raw,medium_category,height_cm,width_cm,year_created,is_signed,is_dated,provenance_text,provenance_count,literature_text,literature_count,exhibited_text,exhibition_count,estimate_low_usd,estimate_high_usd,estimate_currency,hammer_price_usd,hammer_currency,is_sold,is_withdrawn,image_url,lot_url
bonhams_30642_1,1,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Francis Newton Souza,1924.0,2002.0,Untitled (Head),"oil on paper laid down on board, framed",oil_on_paper,34.5,26.5,,True,True,"Property from a private collection, London; acquired from the artist circa 1960s, thence by descent;
Bonhams, Islamic & Indian Art, 25th October 2007, lot 311.
Property from a private collection, London; acquired from the above.
""Renaissance painters painted men and women making them look like angels. I paint for angels, to show them what men and women really look like."" - F.N. Souza, 1962.
Painted in 1962, a period marking a pivotal shift in Souza's artistic development, this masterpiece, Untitled (Head), stands as a defining moment in his career, bridging the visual languages of his 1950s and 1960s periods. Created during his celebrated Gallery One years, the work embodies both an aesthetic breakthrough and a testament to Souza's rise as a leading figure in contemporary art.
After leaving India for London in 1949, Souza endured several years of hardship before establishing himself as a vital voice within postwar British art. His perseverance culminated in widespread recognition by the late 1950s, notably with his first major solo exhibition at Gallery One in 1959. Organised by Victor Musgrave, this landmark show marked Souza's emergence on the international stage. Musgrave's vision proved instrumental in shaping the global recognition of modern Indian art. He was among the first to exhibit artists such as Sayed Haider Raza, Akbar Padamsee, Tyeb Mehta, Paritosh Sen, Avinash Chandra, Anwar Jalal Shemza, Ram Kumar, Laxman Pai, Maqbool Fida Husain, and Souza himself, an audacious and pioneering gesture that redefined the visibility of South Asian modernists abroad.
Throughout his career, Souza sustained an unyielding commitment to experimentation. His portraits of the 1950s are distinguished by assertive cross-hatched lines, while by the early 1960s his approach had evolved toward radical distortion, transforming faces into complex, mutated forms. The present lot stands as a compelling testament to this evolution, an image where intensity, audacity, and emotion conver",12,,0,,0,25200.0,37800.0,GBP,56700.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-10/21/25772983-1-2.jpg,https://www.bonhams.com/auction/30642/lot/1/
bonhams_30642_2,2,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Jamini Roy,1887.0,1972.0,Untitled (Woman),"tempera on weave, framed",other,51.7,33.9,,False,False,"Property from a private collection, USA;
Acquired from a thrift store.
In this striking tempera on weave, Roy presents a monumental figure of a woman cradling the infant Ganesh, her presence dominating the composition. The image is meticulously constructed from small squares, reflecting Roy's distinctive approach to form and structure. Three decorative borders frame the central figure, creating a rhythmic containment that enhances the work's visual harmony. The painting is imbued with the artist's signature motifs, simplified, flattened forms, bold outlines, and vibrant, earthy colours evoking both folk traditions and a timeless, devotional aura. Through this work, Roy merges folk aesthetics with a modernist sensibility, celebrating maternal care, divinity, and the enduring power of Indian visual culture.",3,,0,,0,9450.0,13860.0,GBP,12600.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-10/20/25710425-1-1.jpg,https://www.bonhams.com/auction/30642/lot/2/
bonhams_30642_3,3,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Ismail Gulgee,1926.0,2007.0,Untitled (Abstract),"oil on canvas, framed",oil_on_canvas,44.6,29.5,,False,False,"Acquired directly from the artist;
Property from a private collection, Karachi;
Acquired from the above.
Widely regarded as one of Pakistan's most significant modern artists, Gulgee pushed the boundaries of artistic expression, blending profound spirituality with a strikingly modern visual language. His luminous and captivating abstract works earned him international acclaim, finding their place in both private and institutional collections across the world.
Gulgee's practice reimagined traditional Islamic calligraphy through abstraction, transforming Arabic script into sweeping, gestural compositions that radiate vitality. His works are meditations on rhythm, movement, and light - each brushstroke animated by colour and motion.
Trained initially as a portrait painter, Gulgee's early exposure to calligraphy, encouraged by his father, himself a skilled calligrapher, laid the foundation for his later experiments with tradition and innovation. In 1960, his encounter with an exhibition by the American abstract artist Elaine Hamilton in Karachi proved pivotal. Inspired by the dynamism of action painting, he began combining its spontaneity with the discipline of calligraphy, creating a new approach to modern South Asian art.
As art historian Ijaz ul Hassan notes, (, Lahore, 1991, pp. 119–120).
In works such as the present lot, , Gulgee's sweeping gestures and radiant colours embody both physical immediacy and spiritual contemplation, an enduring testament to his visionary approach and his profound contribution to the language of modern Islamic art.
READ MORE",9,,0,,0,10080.0,15120.0,GBP,11970.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-10/20/25730186-3-1.jpg,https://www.bonhams.com/auction/30642/lot/3/
bonhams_30642_4,4,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Maqbool Fida Husain,1915.0,2011.0,Untitled (Self Portrait),"oil on canvas, framed",oil_on_canvas,106.0,56.0,,True,False,"Acquired by John Guyer, while stationed in India, Afghanistan and Sri Lanka 1950s-1970s from Kumar Gallery, Sundanagar, New Delhi, in 1973
Thence by descent;
Bonhams, Modern & Contemporary South Asian Art, 11th June 2015, lot 18;
Property from a private collection, California; acquired from the above.
In this striking Untitled (Self-Portrait), Husain presents a deeply introspective image that merges personal identity with broader historical and symbolic resonance. Depicted without arms, Husain stands broad-shouldered and upright, partially enclosed within a rectangular outline suggestive of a mirror, a device that frames both reflection and self-confrontation. From the centre of his torso emerges a single hand, rendered in the peaceful kapithaka mudra, a gesture often associated with offering and grace. The disjunction between body and gesture infuses the image with quiet tension, suggesting both limitation and transcendence.
Likely painted in the early 1970s, against the turbulent backdrop of the Indo-Pak war and the subsequent formation of Bangladesh, the work exemplifies Husain's ability to translate contemporary experience into layered visual allegory. The absent arms and the central hand may be read as metaphors for dismemberment and healing, echoing both the fragmentation of the subcontinent and the artist's search for continuity through creation.
Husain's genius lay in his capacity to weave current events, mythic imagery, and self-exploration into a unified visual language. Here, autobiography meets history, the artist positions himself not merely as observer but as participant, embodying the ruptures and reconciliations of his time. The muted palette and structural clarity underscore the painting's meditative tone, transforming the act of self-portraiture into a reflection on the human condition amid political upheaval.
stands as both a personal declaration and a historical document, an image of vulnerability, resilience, and spiritual poise from one of Indi",10,,0,,0,69300.0,88200.0,GBP,63000.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-10/21/25714446-1-1.jpg,https://www.bonhams.com/auction/30642/lot/4/
bonhams_30642_5,5,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Sayed Haider Raza,1922.0,2016.0,Morning Raga,"oil on canvas, framed",oil_on_canvas,48.4,43.3,,True,True,"Galerie Lara Vincy, Paris;
Private Collection, USA;
Thence by descent.
Note: This work will be included in the revised edition of SH Raza, Catalogue Raissoné, Volume I (1958-1971) by Anne Macklin on behalf of The Raza Foundation, New Delhi (image ref: SR4859).
Thereafter visual reality, the aim to construct a 'tangible' world receded. In its place there was a preoccupation with evoking the essence, the mood of places and of people (as quoted in Geeti Sen, The Seed and the Fruit: Metaphors in Raza's Painting, S. H. Raza, Saffronart and Berkeley Square Gallery exhibition catalogue, 2005, p. 6).
marks a pivotal moment in the artist's evolution. Immersed in the vibrant artistic milieu of post-war America, Raza encountered leading Abstract Expressionists such as Sam Francis, Mark Rothko, and Jackson Pollock. Their emphasis on gesture, colour, and emotional immediacy profoundly influenced his practice, prompting a shift from structured landscapes to a more intuitive and expressive mode of abstraction.
In , Raza explores the interplay of form, colour, and rhythm to evoke the tonal and emotional resonance of an Indian raga, the musical mode traditionally associated with specific moods and times of day. Swaths of radiant blue, punctuated by dynamic strokes and luminous contrasts, convey the awakening energy of dawn. The work captures not a scene but a sensibility, transforming sound into colour, rhythm into composition.
This period of experimentation in the early 1960s laid the groundwork for Raza's later metaphysical abstractions, in which music, memory, and spiritual reflection became central to his visual language.
READ MORE",9,,0,,0,44100.0,63000.0,GBP,189000.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-11/18/25775022-1-1.jpg,https://www.bonhams.com/auction/30642/lot/5/
bonhams_30642_6,6,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,J. Sultan Ali,1920.0,1990.0,Untitled (Life Cycle Cradle to Grave),"oil on canvas, framed",oil_on_canvas,80.5,120.4,1967.0,True,False,"Property from a private collection, Australia.
Acquired in 1977 from Fine Art Auctioneers, Consolidated Auctions Pty Limited, Sydney;
Thence by descent.
'...complexity of meaning is reflected in a corresponding complexity of technique. From 1963 onwards, Sultan Ali has been developing a very elaborate way of representing space: figures are superimposed on figures, colours merge into each other...All images are interdependent, each one is modified in its impact by the others. His pictures could be read as a mass of detail, but essentially Sultan Ali achieves a single impact, a single mood through which he has labelled 'pictorial unification.' Ulli Beier, Introduction J. Siltan Ali., New Delhi: LKA, 1983, n.p.
Often described as the voice of the 'Tribal Spirit' in modern Indian art, Ali forged a singular path within Indian modernism, embracing figuration at a moment when abstraction had come to characterise the path of Modern Indian art. Ali's pictorial world depicts a fascination with the vitality of nature and humanity, what he once described as (J Sultan Ali in , S A Krishnan published in Lalit Kala Contemporary, Vol xxxiv No 1). Seeking a style that was uniquely his own, Ali found inspiration in the vibrancy of Indian tribal art, a visual language distinct from classical tradition, and began engaging deeply with the communities that sustained it.
His compositions are tightly knit yet often agitated, revealing a dynamic fusion of designs, colours, lines, and forms. The long, slender contours and angular geometry of his figures mark his departure from Western academic perspective, instead drawing on the of Indian and Persian miniature traditions, where his figures unfold in lyrical harmony.
Among the recurring motifs in his oeuvre, the (bull), seen here in the left section of the composition, receding into the middle ground, stands as the most significant. The artist's connection to this symbol traces back to his transformative encounter with a monumental stone bull",12,,0,,0,50400.0,75600.0,GBP,,,False,False,https://img1.bonhams.com/image?src=Images/live/2025-10/21/25747625-1-1.jpg,https://www.bonhams.com/auction/30642/lot/6/
bonhams_30642_7,7,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Maqbool Fida Husain,1915.0,2011.0,Untitled (Ashvamedha & Six Horses),"acrylic on canvas, framed",acrylic_on_canvas,76.1,127.0,,True,True,"Property from a private collection, London.
Acquired from the artist.
'When we look at these creatures (horses), we must remember that the animal is not the subject of Husain's paintings: it is the daemonic principle that he depicts, and to him it is neither good nor bad.' Richard Bartholomew in Maqbool Fida Husain, by K. Bikram Singh, pg. 177.
Husain's Untitled (Ashvamedha & Six Horses) is a commanding meditation on power, sacrifice, and transcendence. Painted almost entirely in modulations of white, with only the faintest breath of blue animating the surface, this monumental work demonstrates Husain's ability to create visual drama through restraint. The large horizontal composition stages a compelling tableau; on the left sits a regal figure, perhaps a or king, enthroned upon a raised , presiding over the ceremonial Ashvamedha, while six horses surge dynamically across the plane, embodying energy, vitality, and divine force.
The Ashvamedha, an ancient Vedic ritual of royal consecration, was traditionally performed to assert a monarch's sovereignty and cosmic legitimacy. A sacred horse, representing the spirit of the king, was set free to wander for a year, followed by warriors who protected it. Upon its return, the horse was ritually sacrificed, symbolising renewal, dominion, and the cyclical power of life and death. Husain, ever attuned to the mythic and the allegorical, revisits this potent symbol not as literal narration but as an abstracted visual metaphor for creation, conquest, and spiritual release.
The presence of six horses rather than one intensifies the drama of the composition. In Vedic and later Indian thought, the horse signifies strength, speed, and divine vitality, attributes associated with Surya, the sun god, whose chariot is drawn by seven horses, each representing a ray of light. Husain's choice of six may allude to the balance between motion and control, matter and spirit, the threshold between the earthly and the celestial. The horses, rende",10,,0,,0,315000.0,441000.0,GBP,252000.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-11/05/25769435-1-1.jpg,https://www.bonhams.com/auction/30642/lot/7/
bonhams_30642_8,8,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Sadequain,1930.0,1987.0,A group of standing figures,"oil on canvas, framed",oil_on_canvas,120.1,88.4,1963.0,True,True,"Property from a private collection, Pakistan
Published
Abdul Hamid Akhund et al, Sadequain: The Holy Sinner, Karachi : Mohatta Palace Museum in collaboration with Unilever Pakistan, 2003, pg. 198, plate no. 150.
""Sadequain adds up the impression of space, density, volume and reality of matter, which transforms an abstract thought into a material fact..."" (Raymond Cogniat, Le Figaro, Paris, 16 October 1962)
Emerging from a family of calligraphers, Sadequain established himself as a defining figure of Pakistani modernism. During the 1960s he worked extensively in Paris, receiving the Biennale de Paris award in 1961, while maintaining an active presence in Pakistan through frequent exhibitions. Working entirely outside formal training, he developed a body of work over three decades that is remarkable for its complexity and allegorical significance. His distinctive blend of calligraphic line and abstracted figuration set him apart from his contemporaries and secured his place as a singular voice in modern art.
This present work exemplifies Sadequain's densely composed style, in which every available surface is packed with lines and forms. It dates to one of his most critically celebrated periods, the Blue and Ochre Phase, and belongs to the 1963 series . Distorted, almost ethereal anthropomorphic forms seem to dissolve into one another through an interlaced network of shapes.
Sadequain reimagined the human form with striking singularity, drawing inspiration from the great Renaissance masters, particularly El Greco, whose elongated, skeletal figures captivated him. Often surreal and grotesque, his figures are stretched and contorted to the point that they verge on the inanimate, dissolving traditional notions of shape and proportion.
READ MORE",8,,0,,0,50400.0,75600.0,GBP,37800.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-12/05/25731673-5-2.jpg,https://www.bonhams.com/auction/30642/lot/8/
bonhams_30642_9,9,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Sohan Qadri,1932.0,2011.0,Receding Symphonies,"oil on canvas, framed",oil_on_canvas,86.9,126.5,,True,True,"Property from a private collection, UK.
Acquired in Nairobi, Kenya when the vendor's father worked for UNESCO, likely from Paa-yaa-paa Gallery or the Stanley Gallery;
Thence by descent.
The intuitive experience speaks all languages and knowns no formal boundaries. Only emptiness [within], should communicate with emptiness of the canvas.'- Sohan Qadri.
Painted in 1966, Receding Symphonies belongs to a pivotal moment in Qadri's artistic and spiritual journey, a period many consider to be his breakout year. The painting, composed in black ink on a pristine white background, embodies the Sufi principles of balance, negation, and transcendence that would come to define Qadri's mature style. The stark monochrome palette evokes the tension between emptiness and presence, a visual meditation on the dissolution of the ego, central to Sufi philosophy. The rhythmic forms seem to both emerge from and recede into the void, suggesting an eternal cycle of creation and disappearance.
thus stands at the threshold of Qadri's transformation from figurative painter to spiritual abstractionist. While still rooted in gestural mark-making, the work reveals a disciplined restraint and inward focus, reflecting his deep immersion in yogic and Sufi thought. Painted midway between India and his eventual home in Denmark, it captures the artist in motion, both geographically and metaphysically, poised between two worlds and two states of being.
This rare early work offers profound insight into the genesis of Qadri's lifelong pursuit, to fuse mysticism and minimalism, transforming the painted surface into an arena of meditation.
READ MORE",8,,0,,0,25200.0,37800.0,GBP,94500.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-10/23/25750674-1-1.jpg,https://www.bonhams.com/auction/30642/lot/9/
bonhams_30642_10,10,bonhams_30642,Modern and Contemporary South Asian Art,2025-12-09,London,live,Maqbool Fida Husain,1915.0,2011.0,Untitled (Horses & Ganesh),"acrylic on canvas, framed",acrylic_on_canvas,101.6,76.4,,True,False,"Property from a private collection, UK.
Acquired from the artist.
I have not seen these wild animals in the jungle. I have seen them imprisoned in stone on the walls of Khajuraho, Konark, Mahabalipuram - the temples of medieval India. - M.F Husain.
In Untitled (Two Horses and Ganesh), Husain brings together two of his most enduring motifs, the horse and the deity Ganesh, in a composition that radiates dynamism and symbolic depth. Set against a vivid blue background bordered by two white horizontal bands, the painting balances movement and divinity through bold colour and form.
At the centre of the composition, a yellow horse with a white head dominates the foreground, its full body rendered in an energetic, leaping motion that seems to burst beyond the confines of the frame. Seated atop this horse is Ganesh, depicted with quiet authority, holding a radiant sun in his left hand, a gesture that fuses cosmic power with creative energy. Above, a white horse faces in the opposite direction, its neck and head alone visible, introducing balance and counterpoint to the composition's charged movement.
Husain's use of contrasting hues, yellow against black, white against blue, intensifies the painting's vitality while preserving clarity of form. The horses, long central to Husain's visual language, symbolize strength, grace, and unbridled spirit, while Ganesh represents wisdom and auspicious beginnings. Together, they embody a dialogue between the earthly and the divine, motion and stillness, energy and enlightenment.
READ MORE",7,,0,,0,189000.0,252000.0,GBP,176400.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-11/19/25786693-1-1.jpg,https://www.bonhams.com/auction/30642/lot/10/
bonhams_30694_1,1,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Sayed Haider Raza,1922.0,2016.0,L'Et&#233;,ink included with each email.,other,55.5,44.2,,False,False,"Property from a private collection, UK.
Acquired from Galerie Matatasso, Nice.
Raza arrived in Paris in 1950 from Bombay (now Mumbai) to study at the École des Beaux-Arts. Immersed in the city's artistic avant-garde, he became, in 1956, the first non-French recipient of the Prix de la Critique. An Indian-born artist who spent the greater part of his career in France, he began with expressionist landscapes before evolving toward a disciplined geometric abstraction. From the 1970s, Raza embraced a symbolic vocabulary rooted in Indian philosophy, most notably the bindu, the primordial dot, alongside elemental forms and colours drawn from spiritual tradition.
In this lithograph, the artist combines vibrant tones of orange and yellow with bold red and black forms, creating a luminous and dynamic play of colour and shape. The title , Summer, underscores Raza's harmonious use of colour and abstraction, evoking the warmth and radiance of a summer evening.
READ MORE",5,,0,,0,3150.0,4410.0,GBP,2520.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-07/25/25728655-1-1.jpg,https://www.bonhams.com/auction/30694/lot/1/
bonhams_30694_2,2,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Velu Viswanadhan,1940.0,,Untitled (Abstract),"oil on canvas, framed",oil_on_canvas,29.4,29.4,,True,False,"Property from a private collection, UK.
Viswanadhan is an Indian contemporary artist from Kerala who lives and works in Paris, while also maintaining a studio in Cholamandal. After settling in Paris in 1967, he engaged with concepts of space, tantric mandalas, and geometric forms, eventually developing a synthesis between Eastern traditions and Western modernism. His encounter with contemporary Western art prompted a shift in his practice; moving away from esoteric geometrical symbolism, he began to approach space as an expression of time.
In this striking work, expansive washes of ochre and gold are layered with sharp, angular lines. The composition embodies Viswanadhan's ongoing poetic exploration of the interplay between geometry, space, and time, while drawing on his tantric roots.
READ MORE",4,,0,,0,1512.0,1890.0,GBP,1134.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-07/04/25702557-2-1.jpg,https://www.bonhams.com/auction/30694/lot/2/
bonhams_30694_3,3,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Sadequain,1930.0,1987.0,Untitled (Man),ink on paper,ink_on_paper,28.7,21.0,1969.0,True,True,"Property from a private collection, UK.
Dated 1969, this powerful drawing is a classic example of Sadequain's expressive style from his most prolific and creative period. The work is reminiscent of his broader Mystic Figurations and Crucifixion series from the 1960s, both of which demonstrate the artist's masterful handling of the human shape.
The present lot features the artist's signature elongated and stylised lines. Through a transformative depiction of the naked male body, the artist portrays a deeper, more profound state of being, reflecting a sense of both spiritual and physical anguish. As art critic Barnett D. Conlan observed, Sadequain was 'not abstract although some of his large compositions... came very near to it. Nor is he a surrealist... He transforms [forms of nature] into a world of his own by the force of his imagination' (quoted in I. Dadi, , 2010, p. 156).
This piece, with its powerful depiction of the human body and imaginative use of line, showcases the artist's ability to convey profound emotion through form.
Sadequain garnered great acclaim throughout his career, both during and after his lifetime. His work was featured in numerous solo exhibitions, including those at the Commonwealth Institute Galleries in London and Galerie Lambert in Paris. He was also the recipient of several prestigious awards, including the Tamgha-e-Imtiaz award by the Government of Pakistan in 1960, the Biennale de Paris award by the Government of France in 1961, and the Cultural Award by the Government of Australia in 1975.
READ MORE",6,,0,,0,1512.0,1890.0,GBP,1386.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-08/21/25702557-10-1.jpg,https://www.bonhams.com/auction/30694/lot/3/
bonhams_30694_4,4,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Jyoti Bhatt,1934.0,,Icon under the Sun,ink included with each email.,other,25.2,24.9,,False,False,"Property from a private collection, UK.
Jyoti Bhatt was born in Bhavnagar, Gujarat, and studied painting and printmaking at MS University in Baroda. His work is a fusion of academic study, traditional Indian folk designs, and Western art movements like Cubism and Abstract Expressionism. Bhatt's interest in fresco and mural painting techniques led him to explore the relationship between art and craft, while his time studying in Italy and New York exposed him to new artistic ideas. His art often reflects Tantric philosophy and the dynamic principles of Shiva-Shakti, connecting the cosmic and human realms.Icon under the Sun is an amalgamation of these various inspirations.",2,,0,,0,1260.0,1890.0,GBP,1764.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-07/04/25702557-3-1.jpg,https://www.bonhams.com/auction/30694/lot/4/
bonhams_30694_5,5,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Maqbool Fida Husain,1915.0,2011.0,Untitled (Theorama),ink included with each email.,other,47.5,35.6,,False,False,"Property from a private collection, UK.
Published
K. Bikram Singh, Maqbool Fida Husain, pp. 161-166, figures 140-144, 2008 (Another edition)
Note: In addition to the 10 lithographs, there is a 'panel' with a quote describing the 10 serigraphs.
Husain published this limited edition of ten serigraphs called Theorama. He has expertly deployed colour, and used the symbols of each faith to depict Buddhism, Sikhism, Zoroastrianism, Islam, Christianity, Jainism, Taoism, Judaism, Vedic and Humanism. Each serigraph carries a quote which relates to the religion illustrated. The edition celebrates the plurality and spiritual unity of each faith.
For another edition sold on these premises see , 14th - 27th January 2025, lot 96.
READ MORE",7,,0,,0,1260.0,1890.0,GBP,2772.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-07/09/25701917-1-1.jpg,https://www.bonhams.com/auction/30694/lot/5/
bonhams_30694_6,6,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Abdur Rehman Chughtai,1897.0,1975.0,Behind the Curtain,etching exemplifies Chughtai's gift for transforming the miniature tradition into a deeply personal and poetic modern idiom.,etching,35.3,38.4,,True,False,"Property from an Estate, USA.
In Behind the Curtain, Chughtai masterfully balances delicacy with drama, drawing upon his signature blend of Indo-Persian aesthetics and modern sensibility. The composition is dominated by the figure of a seated woman in profile, her breast partially exposed, the sumptuous folds of her lehenga filling the foreground with rhythmic grace. Behind her, partly veiled by the curtain, another female figure appears to be dancing; her placement in the background lending the work an intriguing interplay of concealment and revelation. Through its layering of space and suggestion of intimacy, this rare etching exemplifies Chughtai's gift for transforming the miniature tradition into a deeply personal and poetic modern idiom.
For another etching sold at Christie's see South Asian Modern & Contemporary Art, 26th May 2016, lot 15.
READ MORE",4,,0,,0,6300.0,8820.0,GBP,5040.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-07/04/25690651-1-1.jpg,https://www.bonhams.com/auction/30694/lot/6/
bonhams_30694_7,7,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Jeram Patel,1930.0,2016.0,Untitled,"acrylic on canvas, framed",acrylic_on_canvas,75.2,91.0,,False,False,"Property from a private collection, India.
Patel was one of India's most radical and pioneering abstract artists, whose bold, minimalist aesthetic challenged traditional notions of Indian art in the post-independence era. Born in the small town of Sojitra in Gujarat, Patel studied drawing and painting at Sir J. J. School of Art in Mumbai (1950-55), and later pursued typography and publicity design at the Central School of Arts and Crafts in London (1957-59). This dual education, rooted in both Indian and international modernist traditions shaped his distinct artistic vision.
Patel rose to prominence in the 1960s as a founding member of Group 1890, an avant-garde collective of artists that rejected the narrative and decorative modes then prevalent in Indian modern art. He became known for his intense engagement with abstraction, not as a stylistic choice, but as a philosophical and material investigation. In particular, his black-on-white paintings, created using acrylics and sometimes blowtorches on plywood, became his signature mode of expression. These stark compositions, often featuring dense black forms - irregular, explosive, or quietly meditative emerged from his fascination with the metaphysical and the elemental.
In these works such as , black is never merely a colour; it is an event, a gesture, a force. Against a white background, his black forms pulse with ambiguity and energy. They refuse figurative interpretation, instead evoking psychological and spatial depth. Patel's abstractions are intensely personal, often described as visual manifestations of silence, emptiness, and inward tension. His paintings challenge viewers to abandon narrative and enter a space of raw experience. The black form becomes a vehicle for introspection, challenging the viewer to confront the power of absence, silence, and the unnameable. With no discernible narrative or representational reference, Patel shifts the focus inward, privileging sensation over story, and presence over ",5,,0,,0,22680.0,30240.0,GBP,,,False,False,https://img1.bonhams.com/image?src=Images/live/2025-05/09/25689783-1-2.jpg,https://www.bonhams.com/auction/30694/lot/7/
bonhams_30694_8,8,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Shalini Bharadwaj,1973.0,,The Key,"acrylic on canvas, framed",acrylic_on_canvas,120.0,100.0,2022.0,True,False,"Property from the artist's collection.
'I find old doors very interesting subjects to paint. For me doors symbolise hope, opportunity, protection, new possibilities and mystery. As an artist I find the intriguing duality of what lies beyond or what lies within fascinating. Capturing the character and personality of an old weather-beaten door is like portraiture. Every scar, scrape, groove and ornament provide endless opportunity for visual storytelling.'
Drawing inspiration from her Indian roots and memories of childhood, travel, and cultural associations, Shalini creates works that evoke nostalgia, identity, and the passage of time. She believes art resonates most deeply when it connects with the viewer's own experiences, sparking empathy and shared emotion.
Shalini's interest in art and design began at an early age and led her to study Graphic Design at Nottingham Trent University, where she graduated with First Class Honours. During her studies she received numerous national awards, including the prestigious D&AD (British Design and Art Direction) Award and the Society of Typographic Designers Award. She went on to enjoy a successful career in online design, working with several leading digital studios in London. Today, Shalini devotes her time to a range of creative pursuits from her West London studio—among them, HUTKE, her jewellery brand dedicated to original, handcrafted pieces.
READ MORE",5,,0,,0,6300.0,8820.0,GBP,5796.0,GBP,True,False,https://img1.bonhams.com/image?src=Images/live/2025-08/17/25733923-1-2.jpg,https://www.bonhams.com/auction/30694/lot/8/
bonhams_30694_9,9,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Prafulla Mohanti,1936.0,,Untitled (Red),"watercolour on paper, framed",watercolor_on_paper,74.0,54.4,,False,False,"Property from a private collection, UK.
Acquired from the artist.
Mohanti came to Leeds, UK in 1960 to study as a town planner. It was here that he concentrated on painting using bright colours, as a way to counteract the greyness of the city, and his room. Untitled (Red) illustrates how brightness became central to his oeuvre. Despite being painted nearly 40 years after he arrived in the UK, it exemplifies his style. The concentric circles, painted in shades of cool blues and vivid reds, with a central yellow light resemble the sun and is almost blinding in its intensity. He held his first public exhibition in 1964 at the Wakefield City Art Gallery in Yorkshire, where he showcased his works alongside 10 other others. Wakefield Council's purchases of Composition and Floral Theme around this time mark the first acquisitions of his work by a UK institution.",3,,0,,0,5040.0,7560.0,GBP,,,False,False,https://img1.bonhams.com/image?src=Images/live/2025-03/27/25672653-2-1.jpg,https://www.bonhams.com/auction/30694/lot/9/
bonhams_30694_10,10,bonhams_30694,Modern & Contemporary South Asian Art Online,2025-09-01,London,online,Talha Rathore,1970.0,,Untitled,"ink and gouache on wasli, framed",gouache,21.9,17.0,,True,True,"Property from a private collection, Australia.
Trained at the National College of Arts, Lahore, Rathore belongs to the pioneering generation of contemporary miniature artists who redefined the practice for a global stage. Rooted in the classical discipline of miniature painting, her work retains the painstaking precision of line and surface, while simultaneously transforming the idiom into a space for contemporary expression. Rathore's early practice, of which this work is an important example, reveals her ability to balance tradition and innovation through a language that is at once personal and universal.
In Untitled, two trees are depicted at opposite ends of the composition, leaning delicately toward one another. A thin thread ties their branches together, binding them across space, against a glowing orange ground that radiates both warmth and tension. The presence of a floral border at the top recalls the conventions of classical miniature painting, yet Rathore subverts expectation by using it to frame a scene suffused with modern metaphor. The two trees, fragile yet tethered, suggest themes of distance, connection, and enduring bonds, motifs that would become central to her practice in later years. Executed with great economy of means and formal clarity, this early work demonstrates Rathore's ability to distil vast emotional registers into the intimate scale of the miniature.
READ MORE",4,,0,,0,5040.0,7560.0,GBP,,,False,False,https://img1.bonhams.com/image?src=Images/live/2025-07/04/25694416-1-1.jpg,https://www.bonhams.com/auction/30694/lot/10/
